GEOID,tract_name,borough,area_sqmi,ksi_total,crash_count,lpi_count,hump_count,sip_count,bike_lane_miles,investment_density,svi_composite,svi_socioeconomic,svi_household,svi_minority,svi_housing,R_norm,I_norm,gap_score,biv_class,biv_color,safety_desert
36047053900,South Williamsburg,Brooklyn,0.039153713130447874,155.0,513.0,1.0,0.0,1.0,0.19243978055865005,135.07428154305117,0.8183,0.7959,0.8793,0.3969,0.6957,0.03274878512571308,0.12279486605742376,-0.09004608093171068,32,#5698b9,False
36047032800,Coney Island-Sea Gate,Brooklyn,0.08993949114443621,212.0,530.0,6.0,1.0,0.0,0.4932101772902494,219.47884088241818,0.951,0.9622,0.9873,0.8048,0.6748,0.04479188675258821,0.19952632403974935,-0.15473443728716113,32,#5698b9,False
36047033000,Coney Island-Sea Gate,Brooklyn,0.14152655338109596,96.0,274.0,1.0,0.0,0.0,1.0391765935135546,32.21137504843142,0.9306,0.7571,0.9989,0.7777,0.744,0.020283118529473905,0.029283083644142185,-0.00899996511466828,31,#5ac8c8,False
36047062200,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,0.096461576840543,401.0,1096.0,1.0,1.0,0.0,1.3975499630257888,63.19951574725228,0.8991,0.7472,0.9415,0.5001,0.9335,0.08472427635748997,0.05745413547585237,0.0272701408816376,33,#3b4994,True
36047002901,Fort Greene,Brooklyn,0.04188075543991145,130.0,462.0,2.0,0.0,0.0,0.35835308530933213,156.09865579773842,0.9958,0.9635,0.9909,0.9238,0.9757,0.027466723008662583,0.141907943625211,-0.11444122061654842,31,#5ac8c8,False
36047021100,Fort Greene,Brooklyn,0.10616595694148755,335.0,791.0,10.0,3.0,1.0,1.8735143187171903,356.14308547997723,0.7073,0.6389,0.3915,0.7247,0.802,0.07077963236847665,0.3237666118168683,-0.25298697944839166,23,#8c62aa,False
36047013800,Bay Ridge,Brooklyn,0.06294425933572448,152.0,588.0,8.0,2.0,0.0,0.31939750981482096,420.67531724364613,0.6594,0.6451,0.5561,0.4992,0.6294,0.03211493767166702,0.38243230794556266,-0.35031737027389565,22,#a5add3,False
36047013400,Bay Ridge,Brooklyn,0.10341905134538434,325.0,863.0,8.0,2.0,1.0,1.1406166652827376,287.2867678770303,0.7092,0.5419,0.7883,0.5593,0.7379,0.06866680752165645,0.26116992649179077,-0.19250311897013433,23,#8c62aa,False
36047013600,Bay Ridge,Brooklyn,0.08292281176761716,145.0,559.0,8.0,0.0,3.0,0.39185116357752464,368.87047235066575,0.6174,0.5649,0.4937,0.5112,0.6596,0.03063596027889288,0.3353369696095847,-0.30470100933069183,22,#a5add3,False
36081147900,Douglaston-Little Neck,Queens,0.32920995185794427,202.0,1053.0,4.0,7.0,0.0,0.0018483405513580898,57.72235135536494,0.6202,0.5885,0.3084,0.6323,0.7201,0.04267906190576801,0.052474892497891876,-0.009795830592123862,22,#a5add3,False
36081150701,Douglaston-Little Neck,Queens,0.33854782065025935,239.0,875.0,4.0,5.0,0.0,0.23537389226304117,51.25734026308011,0.3648,0.2676,0.6117,0.6411,0.2972,0.05049651383900275,0.04659760659218191,0.0038989072468208416,12,#dfb0d6,False
36047056100,Greenpoint,Brooklyn,0.12838186010910707,185.0,1081.0,0.0,0.0,1.0,1.194390204743786,29.53365299344743,0.2653,0.3328,0.0165,0.4324,0.7655,0.03908725966617367,0.02684878958516568,0.01223847008100799,12,#dfb0d6,False
36047056900,Greenpoint,Brooklyn,0.049321732863639535,128.0,481.0,2.0,0.0,2.0,0.33326924422538307,212.88594817557,0.2391,0.1832,0.1439,0.3945,0.557,0.027044158039298542,0.19353278205958818,-0.16648862402028963,11,#e8e8e8,False
