"the_geom","MainStreet","CrossStree","Install_Da","LONG","LAT","X","Y"
"POINT (-73.77926327284948 40.757726634526044)","Northern Boulevard","204 Street","2018-06-02T00:00:00","-73.7792632728495","40.757726634526","1045403.00005713","215413.999995977"
"POINT (-73.76751884444391 40.760492201309006)","Northern Boulevard","215 Street","2018-06-02T00:00:00","-73.7675188444439","40.760492201309","1048654.00011681","216429.999932483"
"POINT (-73.7656912283025 40.76080140078944)","Northern Boulevard","216 Street","2018-06-02T00:00:00","-73.7656912283025","40.7608014007894","1049160.00008905","216544.000032559"
"POINT (-73.76030590001078 40.761685111468374)","Northern Boulevard","221 Street","2018-06-02T00:00:00","-73.7603059000108","40.7616851114683","1050651.0000598","216870.000036731"
"POINT (-73.7497354821635 40.76384745791553)","Northern Boulevard","232 Street","2018-06-02T00:00:00","-73.7497354821635","40.7638474579155","1053577.00011331","217666.000085145"
"POINT (-73.74214451901076 40.76552972089433)","Northern Boulevard","244 Street","2018-06-02T00:00:00","-73.7421445190108","40.7655297208943","1055677.99984831","218285.000159472"
"POINT (-73.73817515110221 40.76786478772144)","Northern Boulevard","249 Street","2018-06-02T00:00:00","-73.7381751511022","40.7678647877214","1056774.99995089","219139.000091895"
"POINT (-73.7391458744963 40.76704630832358)","Northern Boulevard","Alameda Avenue West","2018-06-02T00:00:00","-73.7391458744963","40.7670463083236","1056507.0001588","218840.000033721"
"POINT (-73.73629426577271 40.76968850324974)","Northern Boulevard","Brownvale Lane","2018-06-02T00:00:00","-73.7362942657727","40.7696885032497","1057293.99989714","219805.000072226"
"POINT (-73.81292013427877 40.765057050542964)","Northern Boulevard","Murray Street","2018-06-02T00:00:00","-73.8129201342788","40.7650570505429","1036073.00001639","218062.999947309"
"POINT (-73.91150714439628 40.74447132791613)","Roosevelt Avenue","53 Street","2018-06-02T00:00:00","-73.9115071443963","40.7444713279161","1008771.00015855","210519.999941483"
"POINT (-73.91054319690755 40.7447560377037)","Roosevelt Avenue","54 Street","2018-06-02T00:00:00","-73.9105431969076","40.7447560377037","1009037.99995264","210624.000061557"
"POINT (-73.90445038102881 40.74547575802339)","Roosevelt Avenue","60 Street","2018-06-02T00:00:00","-73.9044503810288","40.7454757580234","1010725.99985747","210887.999861643"
"POINT (-73.90109717217894 40.74582974524744)","Roosevelt Avenue","63 Street","2018-06-02T00:00:00","-73.9010971721789","40.7458297452474","1011654.99996798","211017.999929726"
"POINT (-73.90005402213426 40.74594137933785)","Roosevelt Avenue","64 Street","2018-06-02T00:00:00","-73.9000540221343","40.7459413793378","1011944.00004613","211058.999847725"
"POINT (-73.89143078916962 40.74684483103434)","Roosevelt Avenue","74  Street & Broadway","2018-06-02T00:00:00","-73.8914307891696","40.7468448310343","1014332.9998613","211390.999839887"
"POINT (-73.88020470513597 40.74802492445273)","Roosevelt Avenue","86 Street & Elbertson St","2018-06-02T00:00:00","-73.880204705136","40.7480249244527","1017442.99987489","211824.999956146"
"POINT (-73.87555532797643 40.74851405009112)","Roosevelt Avenue","91 Street","2018-06-02T00:00:00","-73.8755553279764","40.7485140500911","1018730.99992356","212004.999924228"
